IdOrder,Date,Country,Units,Revenue,Customer
57,2019-01-13,USA,54,1041.76,Globex Corporation
58,2019-01-29,Panama,147,9196.82,Tyrell Corporation
59,2019-01-23,Colombia,339,4722.76,BiffCo
60,2019-01-04,USA,309,6694.46,Zorin Industries
61,2019-01-03,Panama,123,2443.94,Gekko & Co.
62,2019-01-25,Panama,30,751.31,Wonka Industries
63,2019-01-25,Colombia,168,2141.01,Octan Corporation
64,2019-01-03,Colombia,86,1794.55,ZikZak Corporation
65,2019-01-06,USA,132,701.62,Oscorp
66,2019-01-30,USA,309,21044.26,OCP
67,2019-01-01,Canada,307,16448.55,Weyland-Yutani
68,2019-01-01,USA,295,10000.97,Umbrella Corp
69,2019-01-07,Panama,148,10357.14,Massive Dynamic
70,2019-01-25,Panama,334,7348.69,LexCorp
71,2019-01-11,Colombia,313,11018.25,Rich Industries
72,2019-01-26,USA,275,4108.86,Soylent Corp
73,2019-01-11,USA,138,7199.14,Weyland-Yutani
74,2019-01-19,Brazil,252,3449.39,Soylent Corp
75,2019-01-28,USA,398,16280.66,Stark Industries
76,2019-01-24,Brazil,364,13878.72,Rich Industries
77,2019-01-27,Panama,253,21535.82,Gringotts Bank
78,2019-01-17,Panama,347,12848.19,Wayne Enterprises
79,2019-01-13,Panama,283,24813.1,Cyberdyne Systems
80,2019-01-25,Panama,344,709.36,Virtucon
81,2019-01-04,Canada,356,28390.3,Vandelay Industries
82,2019-01-22,Brazil,43,2723.93,Vandelay Industries
83,2019-01-26,USA,112,1542.4,Nakatomi Trading
84,2019-01-11,Colombia,284,411.26,Umbrella Corp
85,2019-01-23,Brazil,96,1550.77,Dunder Mifflin
86,2019-01-28,Colombia,140,578.52,Blue Sun Corporation
87,2019-01-01,Panama,70,555.16,Rich Industries
88,2019-01-10,USA,374,2962.34,ZikZak Corporation
89,2019-01-02,Panama,325,20844.67,Abstergo Industries
90,2019-01-17,Colombia,91,436.9,Spacely Sprockets
91,2019-01-12,Brazil,50,663.97,Virtucon
92,2019-01-06,Brazil,33,670.7,Gekko & Co.
93,2019-01-19,USA,311,8899.8,Globex Corporation
94,2019-01-28,Brazil,22,1267.74,Stark Industries
95,2019-01-31,Panama,196,1134.15,Wonka Industries
96,2019-01-06,Brazil,240,6998.14,Nakatomi Trading
97,2019-01-25,Brazil,51,1512.18,Monarch Solutions
98,2019-01-06,Panama,226,2376.11,Abstergo Industries
99,2019-01-19,Panama,113,554.27,Vandelay Industries
100,2019-01-05,Brazil,217,10063.03,MomCorp
101,2019-01-09,Canada,207,14860.0,Spacely Sprockets
102,2019-01-16,Colombia,194,2414.9,Gekko & Co.
103,2019-01-27,Brazil,199,7349.02,OCP
104,2019-01-11,Panama,190,7837.78,Delos Incorporated
105,2019-01-02,Panama,332,2210.58,Blue Sun Corporation
106,2019-01-06,Brazil,55,619.87,Abstergo Industries
107,2019-01-05,Brazil,383,11854.56,Octan Corporation
108,2019-01-12,Brazil,258,12418.27,Oscorp
109,2019-01-31,USA,192,2221.15,Rich Industries
110,2019-01-04,Colombia,251,16268.15,Hyperion Systems
111,2019-01-06,Colombia,236,8619.95,Hexagon Global
112,2019-01-31,USA,196,4975.01,BiffCo
113,2019-01-10,Panama,56,830.9,Monarch Solutions
114,2019-01-03,Brazil,120,680.82,Blue Sun Corporation
115,2019-01-24,Canada,158,6457.92,Monarch Solutions
116,2019-01-18,Brazil,399,18504.17,Stark Industries
117,2019-01-07,Canada,18,666.47,ZikZak Corporation
118,2019-01-13,Brazil,73,1565.69,Vandelay Industries
119,2019-01-04,Canada,15,309.81,Vought International
120,2019-01-31,Colombia,150,8611.82,Hooli
121,2019-01-12,Colombia,274,23957.53,Globex Corporation
122,2019-01-08,USA,396,5744.25,Monarch Solutions
123,2019-01-21,USA,110,1340.29,Umbrella Corp
124,2019-01-03,Colombia,10,729.39,Cyberdyne Systems
125,2019-01-01,Colombia,252,2309.61,ZikZak Corporation
126,2019-01-25,Canada,351,34287.19,Stark Industries
127,2019-01-16,Brazil,39,1969.46,Virtucon
128,2019-01-04,USA,330,10523.01,Yoyodyne Propulsion Systems
129,2019-01-01,Panama,310,5679.56,Encom
130,2019-01-09,USA,94,2218.79,Stark Industries
131,2019-01-18,USA,55,4124.25,Encom
132,2019-01-21,Colombia,397,26631.22,Nakatomi Trading
133,2019-01-24,Panama,146,10130.0,Cyberdyne Systems
134,2019-01-10,Brazil,218,8645.21,Globex Corporation
135,2019-01-28,Canada,338,5728.72,Hooli
136,2019-01-03,Panama,83,2182.24,Hooli
137,2019-01-06,Colombia,56,535.82,Cyberdyne Systems
138,2019-01-22,Colombia,399,13430.62,Hyperion Systems
139,2019-01-04,Colombia,350,6070.06,Wayne Enterprises
140,2019-01-09,Colombia,321,4052.41,LexCorp
141,2019-01-22,Brazil,243,8414.59,Nakatomi Trading
142,2019-01-30,Brazil,124,3730.43,Kobra International
143,2019-01-05,Brazil,343,18184.36,Blue Sun Corporation
144,2019-01-23,Brazil,244,142.9,Gringotts Bank
145,2019-01-05,Colombia,322,12890.28,Virtucon
146,2019-01-16,Canada,322,6263.05,Oscorp
147,2019-01-14,Canada,367,31226.52,BiffCo
148,2019-01-21,Brazil,73,489.07,BiffCo
149,2019-01-12,Colombia,176,12122.46,Globex Corporation
150,2019-01-09,Panama,237,11190.45,Kobra International
151,2019-01-09,Panama,327,674.73,Hexagon Global
152,2019-01-19,Canada,309,11628.73,Acme Corp
153,2019-01-23,Panama,212,8763.35,Cyberdyne Systems
154,2019-01-14,Brazil,89,2876.46,Hexagon Global
155,2019-01-02,Brazil,128,485.63,LexCorp
156,2019-01-21,Canada,118,2281.7,Monarch Solutions
157,2019-01-03,USA,297,9544.35,Blue Sun Corporation
158,2019-01-13,Colombia,395,9533.13,Abstergo Industries
159,2019-01-18,Brazil,186,123.47,Tyrell Corporation
160,2019-01-22,Canada,239,755.94,Cyberdyne Systems
161,2019-01-17,Brazil,300,15400.77,MomCorp
162,2019-01-28,Canada,371,5661.27,Stark Industries
163,2019-01-03,Colombia,45,2346.82,Abstergo Industries
164,2019-01-05,Colombia,392,19255.96,BiffCo
165,2019-01-29,Brazil,38,1732.86,Gringotts Bank
166,2019-01-20,Brazil,28,304.11,LexCorp
167,2019-01-22,Panama,387,10165.37,Wonka Industries
168,2019-01-04,Colombia,117,4686.5,Delos Incorporated
169,2019-01-15,Brazil,334,5471.35,Oscorp
170,2019-01-18,Brazil,345,5889.58,Globex Corporation
171,2019-01-21,Panama,195,4035.79,Acme Corp
172,2019-01-13,Canada,241,9846.49,Massive Dynamic
173,2019-01-12,Colombia,17,217.73,Wonka Industries
174,2019-01-14,Colombia,328,10576.82,Tyrell Corporation
175,2019-01-06,USA,127,1684.76,Wayne Enterprises
176,2019-01-12,Panama,52,374.11,LexCorp
177,2019-01-20,Colombia,10,457.62,Hexagon Global
178,2019-01-27,Canada,340,13684.36,LexCorp
179,2019-01-19,Brazil,318,11343.74,Hooli
180,2019-01-26,Colombia,82,2997.26,Initech
181,2019-01-22,Brazil,347,2855.54,Wonka Industries
182,2019-01-17,Brazil,300,14911.08,Stark Industries
183,2019-01-23,Panama,139,49.69,Initech
184,2019-01-03,Canada,263,10726.25,BiffCo
185,2019-01-25,USA,337,4352.75,Octan Corporation
186,2019-01-20,Colombia,197,3256.95,BiffCo
187,2019-01-14,Brazil,214,12188.36,Hexagon Global
188,2019-01-12,Colombia,102,6566.51,Octan Corporation
189,2019-01-26,Panama,77,5103.71,Hexagon Global
