IdOrder,Date,Country,Units,Revenue,Customer
249,2019-02-24,Canada,303,2188.2,BiffCo
250,2019-02-04,Panama,285,15974.88,Zorin Industries
251,2019-02-06,Canada,356,3704.39,Weyland-Yutani
252,2019-02-19,Colombia,102,2001.47,BiffCo
253,2019-02-06,Colombia,14,170.09,Wonka Industries
254,2019-02-21,Brazil,199,3886.54,OCP
255,2019-02-19,Panama,102,5364.75,Stark Industries
256,2019-02-04,Colombia,157,5714.99,Nakatomi Trading
257,2019-02-01,Canada,312,19022.89,BiffCo
258,2019-02-15,USA,58,3607.99,ZikZak Corporation
259,2019-02-15,Colombia,202,4961.57,Acme Corp
260,2019-02-12,USA,19,228.0,Gekko & Co.
261,2019-02-19,Canada,264,7155.58,Nakatomi Trading
262,2019-02-27,Brazil,148,1186.29,Nakatomi Trading
263,2019-02-21,USA,291,12619.76,Delos Incorporated
264,2019-02-27,Canada,25,1192.88,Globex Corporation
265,2019-02-06,Panama,90,3560.32,Initech
266,2019-02-25,USA,174,2246.09,Tyrell Corporation
267,2019-02-09,USA,106,155.37,Tyrell Corporation
268,2019-02-21,Canada,197,4094.2,Wonka Industries
269,2019-02-18,Canada,397,12304.8,Blue Sun Corporation
270,2019-02-01,USA,387,23525.5,Monarch Solutions
271,2019-02-04,USA,185,2154.83,Cyberdyne Systems
272,2019-02-09,USA,174,2211.27,OCP
273,2019-02-26,Brazil,89,7604.88,Globex Corporation
274,2019-02-17,Brazil,68,2549.0,Kobra International
275,2019-02-03,Canada,262,15994.59,Blue Sun Corporation
276,2019-02-25,Colombia,318,10341.67,Cyberdyne Systems
277,2019-02-19,Colombia,352,27964.31,Acme Corp
278,2019-02-05,Canada,121,137.47,OCP
279,2019-02-03,Canada,163,6352.3,Hexagon Global
280,2019-02-23,Panama,252,17906.41,Stark Industries
281,2019-02-09,Panama,96,3702.87,Abstergo Industries
282,2019-02-10,Canada,284,7853.2,Hyperion Systems
283,2019-02-20,Colombia,294,1980.62,Blue Sun Corporation
284,2019-02-24,Brazil,61,1880.19,Abstergo Industries
285,2019-02-01,Colombia,69,464.13,Kobra International
286,2019-02-19,USA,79,233.63,Octan Corporation
287,2019-02-25,Brazil,243,12222.34,Virtucon
288,2019-02-26,Colombia,128,6398.35,Cyberdyne Systems
289,2019-02-23,Panama,311,14062.98,Globex Corporation
290,2019-02-03,USA,101,1316.65,Umbrella Corp
291,2019-02-21,Canada,326,18178.41,Stark Industries
292,2019-02-27,USA,216,7946.66,Spacely Sprockets
293,2019-02-28,Panama,201,3790.89,Vandelay Industries
294,2019-02-24,Brazil,330,16055.65,Hexagon Global
295,2019-02-26,USA,335,12759.86,Oscorp
296,2019-02-01,Colombia,120,814.62,Virtucon
297,2019-02-04,USA,334,9261.17,Hooli
298,2019-02-28,USA,267,17016.79,Acme Corp
299,2019-02-27,Colombia,384,11648.84,Wayne Enterprises
300,2019-02-03,Panama,311,1604.79,Monarch Solutions
301,2019-02-18,Colombia,377,3180.72,Abstergo Industries
302,2019-02-06,Colombia,380,5238.84,Abstergo Industries
303,2019-02-17,Colombia,358,815.68,Monarch Solutions
304,2019-02-14,USA,254,6775.15,Globex Corporation
305,2019-02-21,Colombia,226,873.06,Hexagon Global
306,2019-02-07,Canada,334,27931.0,Hyperion Systems
307,2019-02-04,Panama,151,4442.26,Hyperion Systems
308,2019-02-21,Brazil,195,14949.97,Oscorp
309,2019-02-02,Colombia,400,23124.77,Hexagon Global
310,2019-02-20,Brazil,68,137.58,Oscorp
311,2019-02-21,Canada,282,2411.17,Rich Industries
312,2019-02-11,Colombia,217,3421.6,OCP
313,2019-02-19,Colombia,227,17128.49,Wayne Enterprises
314,2019-02-19,Canada,261,9081.02,ZikZak Corporation
315,2019-02-18,Canada,162,8724.32,Soylent Corp
316,2019-02-27,Panama,395,14866.86,LexCorp
317,2019-02-07,Canada,141,5028.69,Nakatomi Trading
318,2019-02-04,USA,100,82.47,Stark Industries
319,2019-02-28,Panama,177,4470.38,Encom
320,2019-02-21,Brazil,192,1826.56,Yoyodyne Propulsion Systems
321,2019-02-05,Brazil,53,2462.28,Tyrell Corporation
322,2019-02-22,Canada,392,21196.38,MomCorp
323,2019-02-13,Colombia,299,8311.03,Nakatomi Trading
324,2019-02-24,Canada,127,473.9,Gekko & Co.
325,2019-02-18,Panama,133,4424.23,Vought International
326,2019-02-21,Colombia,152,2065.5,Octan Corporation
327,2019-02-19,Brazil,50,2091.45,Umbrella Corp
328,2019-02-09,Panama,150,4189.22,Wonka Industries
329,2019-02-24,Canada,162,2682.97,Globex Corporation
330,2019-02-17,Panama,308,4509.6,Hooli
331,2019-02-21,Panama,343,27395.6,Stark Industries
332,2019-02-14,USA,50,2310.8,BiffCo
333,2019-02-25,USA,388,4697.71,Vought International
334,2019-02-25,Brazil,91,5804.67,Spacely Sprockets
335,2019-02-15,USA,94,6793.01,Nakatomi Trading
336,2019-02-14,Colombia,280,23139.25,Tyrell Corporation
337,2019-02-08,Canada,158,8000.1,Hexagon Global
338,2019-02-02,Brazil,100,1004.13,Gringotts Bank
339,2019-02-14,Brazil,229,8799.96,Octan Corporation
340,2019-02-05,Brazil,376,1920.56,Hexagon Global
341,2019-02-10,USA,277,10380.93,BiffCo
342,2019-02-23,Canada,181,1854.41,Stark Industries
343,2019-02-08,Canada,157,1168.43,Delos Incorporated
344,2019-02-07,USA,382,19184.84,Massive Dynamic
345,2019-02-18,Panama,283,4773.69,LexCorp
346,2019-02-15,Brazil,387,24273.53,Gringotts Bank
347,2019-02-23,Brazil,104,6662.46,Oscorp
348,2019-02-05,Panama,45,2568.76,Tyrell Corporation
349,2019-02-27,Brazil,200,3488.52,BiffCo
350,2019-02-24,Panama,213,6483.68,Globex Corporation
351,2019-02-10,USA,191,1717.22,Vandelay Industries
352,2019-02-26,USA,322,1094.67,Encom
353,2019-02-12,Panama,131,3794.14,Abstergo Industries
354,2019-02-08,Panama,396,17393.18,Massive Dynamic
355,2019-02-08,USA,319,13459.81,Stark Industries
356,2019-02-05,Colombia,278,5969.41,Delos Incorporated
357,2019-02-17,Canada,219,3588.77,Yoyodyne Propulsion Systems
358,2019-02-20,Brazil,276,1325.86,Hexagon Global
359,2019-02-23,Colombia,87,1711.02,Wayne Enterprises
360,2019-02-05,USA,227,8358.51,BiffCo
361,2019-02-07,Colombia,280,8533.07,Nakatomi Trading
362,2019-02-10,USA,61,2354.17,Hooli
363,2019-02-13,Canada,347,2336.28,Vought International
364,2019-02-20,Canada,187,5010.4,Kobra International
365,2019-02-12,Canada,184,5074.15,Soylent Corp
366,2019-02-28,Panama,42,1987.57,Yoyodyne Propulsion Systems
367,2019-02-24,Colombia,78,274.08,Delos Incorporated
368,2019-02-14,Colombia,205,2952.64,Vandelay Industries
369,2019-02-19,Canada,206,8533.23,Initech
370,2019-02-26,Brazil,61,4083.97,Stark Industries
371,2019-02-06,Panama,79,4123.58,Blue Sun Corporation
372,2019-02-22,Panama,399,3014.73,Monarch Solutions
373,2019-02-27,Colombia,209,5807.59,BiffCo
374,2019-02-16,USA,219,5033.82,Virtucon
375,2019-02-28,Brazil,366,18333.24,Vought International
376,2019-02-09,Colombia,382,457.43,Acme Corp
377,2019-02-08,Brazil,169,2525.66,Vandelay Industries
378,2019-02-17,Colombia,109,3073.33,Wayne Enterprises
379,2019-02-23,Colombia,289,17233.79,Octan Corporation
380,2019-02-24,USA,31,1362.43,Abstergo Industries
381,2019-02-04,Colombia,132,6742.39,ZikZak Corporation
382,2019-02-03,Canada,147,2203.17,BiffCo
383,2019-02-12,Colombia,123,2264.07,Stark Industries
384,2019-02-17,Brazil,151,2781.58,Hooli
385,2019-02-13,USA,76,2006.63,Wonka Industries
386,2019-02-16,USA,62,556.41,Monarch Solutions
387,2019-02-06,USA,327,12378.14,Tyrell Corporation
388,2019-02-27,Brazil,182,1508.49,Soylent Corp
389,2019-02-01,Brazil,390,3786.11,Dunder Mifflin
390,2019-02-24,Colombia,262,12137.51,BiffCo
391,2019-02-12,USA,172,2488.69,Vandelay Industries
392,2019-02-22,USA,61,3149.23,Umbrella Corp
393,2019-02-17,Colombia,279,6276.42,Virtucon
394,2019-02-17,Panama,263,2076.14,Vandelay Industries
395,2019-02-16,USA,50,3748.98,Rich Industries
396,2019-02-15,Panama,217,7374.1,Hooli
397,2019-02-09,Colombia,182,5305.64,Soylent Corp
398,2019-02-22,Canada,45,1584.27,Globex Corporation
399,2019-02-18,Panama,387,13694.08,ZikZak Corporation
400,2019-02-02,Colombia,170,3609.17,Blue Sun Corporation
401,2019-02-16,Colombia,93,3230.27,Vandelay Industries
402,2019-02-20,Panama,115,1572.8,LexCorp
403,2019-02-28,Canada,243,20965.83,Hexagon Global
404,2019-02-02,Colombia,16,132.29,Weyland-Yutani
405,2019-02-15,Colombia,114,3767.13,LexCorp
406,2019-02-12,Brazil,268,3750.49,Initech
